CORES;Data Aplicacao;Estabelecimento Executante;Vacina;Qdade
I;jul/23;UAPS 4 VARAS;ANTIPOLIO INATIVADA VIP;1
I;jul/23;UAPS 4 VARAS;COVID-19-RNAM, PFIZER (COMIRNATY) ADULTO;1
I;jul/23;UAPS 4 VARAS;COVID-19-RNAM, PFIZER (COMIRNATY) BABY;2
I;jul/23;UAPS 4 VARAS;COVID-19-RNAM, PFIZER (COMIRNATY) BIVALENTE;5
I;jul/23;UAPS 4 VARAS;COVID-19-RNAM, PFIZER (COMIRNATY) PEDI�TRICA;1
I;jul/23;UAPS 4 VARAS;DUPLA ADULTO;6
I;jul/23;UAPS 4 VARAS;HEPATITE B;6
I;jul/23;UAPS 4 VARAS;INFLUENZA (GRIPE);17
I;jul/23;UAPS 4 VARAS;MENINGOCOCICA ACWY;1
I;jul/23;UAPS 4 VARAS;MENINGOCOCO C;2
I;jul/23;UAPS 4 VARAS;PENTAVALENTE;1
I;jul/23;UAPS 4 VARAS;PNEUMOCOCICA 10-VALENTE;1
I;jul/23;UAPS AIRTON MONTE;ANTIPOLIO (SABIN) VOP;1
I;jul/23;UAPS AIRTON MONTE;ANTIPOLIO INATIVADA VIP;3
I;jul/23;UAPS AIRTON MONTE;COVID-19-RNAM, PFIZER (COMIRNATY) ADULTO;2
I;jul/23;UAPS AIRTON MONTE;COVID-19-RNAM, PFIZER (COMIRNATY) BABY;4
I;jul/23;UAPS AIRTON MONTE;COVID-19-RNAM, PFIZER (COMIRNATY) BIVALENTE;15
I;jul/23;UAPS AIRTON MONTE;COVID-19-RNAM, PFIZER (COMIRNATY) PEDI�TRICA;3
I;jul/23;UAPS AIRTON MONTE;DTPA ACELULAR - ADULTO;2
I;jul/23;UAPS AIRTON MONTE;DUPLA ADULTO;14
I;jul/23;UAPS AIRTON MONTE;HEPATITE A;1
I;jul/23;UAPS AIRTON MONTE;INFLUENZA (GRIPE);27
I;jul/23;UAPS AIRTON MONTE;MENINGOCOCICA ACWY;2
